datum;masterfonds_wert;masterfonds_anteilswert;masterfonds_tagesrendite;msci_wert;msci_anteilswert
2026-09-22;100272.80;100.2728;;100144.70;100.1447
2026-09-23;100825.14;100.8251;0.005508;100631.82;100.6318
